Site,Ad Fontes url,Reliability,Bias,Full Site Name
#MediaBuzz,https://adfontesmedia.com/mediabuzz-bias-and-reliability/,35.83,9.26,Fox News: #mediabuzz
19th News,https://adfontesmedia.com/19th-news-bias-and-reliability/,43.37,-10.73,19th News
60 Minutes,https://adfontesmedia.com/60-minutes-bias-and-reliability/,34.29,-8.76,CBS: 60 Minutes
@ Night with Shannon Bream,https://adfontesmedia.com/night-with-shannon-bream-bias-and-reliability/,39.06,17.08,Fox News: @ Night with Shannon Bream
ABC News Website,https://adfontesmedia.com/abc-news-bias-and-reliability/,45.26,-2.94,ABC News (website)
ABC This Week with George Stephanopoulos,https://adfontesmedia.com/this-week-with-george-stephanopoulos-bias-reliability/,42.44,-7.11,ABC: This Week with George Stephanopoulos
ABC World News Tonight with David Muir,https://adfontesmedia.com/abc-world-news-tonight-with-david-muir/,47.67,-5.9,ABC: World News Tonight with David Muir
Abe Lincoln’s Top Hat,https://adfontesmedia.com/abe-lincolns-top-hat-bias-and-reliability/,30.25,-11.75,Abe Lincoln's Top Hat
Advocate Magazine,https://adfontesmedia.com/advocate-magazine-bias-and-reliability/,37.71,-15.41,Advocate Magazine
Agence France-Presse,https://adfontesmedia.com/agence-france-presse-bias-reliability/,47.15,-2.4,Agence France-Presse
Air Force Times,https://adfontesmedia.com/air-force-times-bias-and-reliability/,46.01,1.18,Air Force Times
Al Jazeera Website,https://adfontesmedia.com/al-jazeera-bias-and-reliability/,41.48,-7.08,Al Jazeera (website)
AL.com,https://adfontesmedia.com/al-com-bias-and-reliability/,45.72,-1.94,AL.com
Alex Witt Reports,https://adfontesmedia.com/alex-witt-reports-bias-and-reliability/,36.25,-14.42,MSNBC: Alex Witt Reports
All In with Chris Hayes,https://adfontesmedia.com/all-in-with-chris-hayes-bias-and-reliability/,22.25,-18.46,MSNBC: All In with Chris Hayes
AlterNet,https://adfontesmedia.com/alternet-bias-and-reliability/,27.03,-17.16,AlterNet
Amanpour,https://adfontesmedia.com/amanpour-bias-and-reliability/,42.78,-7.15,CNN International: Amanpour
America Dissected,https://adfontesmedia.com/america-dissected-bias-and-reliability/,34.25,-13.73,America Dissected
America First with Sebastian Gorka Podcast,https://adfontesmedia.com/america-first-with-sebastian-gorka-podcast-bias-and-reliability/,16.53,25.08,America First with Sebastian Gorka Podcast
America Right Now,https://adfontesmedia.com/america-right-now-bias-and-reliability/,13.38,23.46,Newsmax: America Right Now
American Greatness,https://adfontesmedia.com/american-greatness-bias-and-reliability/,18.93,22.45,American Greatness
American Independent,https://adfontesmedia.com/american-independent-bias-reliability/,38.38,-14.61,American Independent
American Thinker,https://adfontesmedia.com/american-thinker-bias-and-reliability/,13.67,24.85,American Thinker
American Voices with Alicia Menendez,https://adfontesmedia.com/american-voices-alicia-menendez-bias-and-reliability/,33.44,-16.0,MSNBC: American Voices With Alicia Menendez
Amicus with Dahlia Lithwick,https://adfontesmedia.com/amicus-dahlia-lithwick-bias-and-reliability/,38.67,-14.59,Amicus with Dahlia Lithwick
Anderson Cooper 360,https://adfontesmedia.com/anderson-cooper-360-bias-and-reliability/,33.21,-14.59,CNN: Anderson Cooper 360
Andrea Mitchell Reports,https://adfontesmedia.com/andrea-mitchell-reports-bias-and-reliability/,28.61,-14.15,MSNBC: Andrea Mitchell Reports
Aol.com,https://adfontesmedia.com/aol-com-bias-and-reliability/,43.71,-1.86,Aol.com
AP,https://adfontesmedia.com/ap-bias-and-reliability/,45.54,-2.29,Associated Press
Apple News Today,https://adfontesmedia.com/apple-news-today-bias-and-reliability/,44.56,-5.03,Apple News Today
Arizona Daily Star,https://adfontesmedia.com/arizona-daily-star-bias-and-reliability/,45.85,-2.0,Arizona Daily Star
Arkansas Democrat-Gazette,https://adfontesmedia.com/arkansas-democrat-gazette-bias-and-reliability/,45.14,0.18,Arkansas Democrat-Gazette
Armchair Expert with Dax Shepard,https://adfontesmedia.com/armchair-expert-with-dax-shepard-bias-and-reliability/,37.42,-9.03,Armchair Expert with Dax Shepard
Army Times,https://adfontesmedia.com/army-times-bias-and-reliability/,47.8,0.31,Army Times
ARS Technica,https://adfontesmedia.com/ars-technica-bias-and-reliability/,45.41,-2.22,ARS Technica
Aspen Times,https://adfontesmedia.com/aspen-times-bias-and-reliability/,46.03,-0.53,Aspen Times
At this Hour with Kate Bolduan,https://adfontesmedia.com/at-this-hour-with-kate-bolduan-bias-and-reliability/,35.44,-11.44,CNN: At this Hour with Kate Bolduan
Atlanta Black Star,https://adfontesmedia.com/atlanta-black-star-bias-and-reliability/,44.58,-6.37,Atlanta Black Star
Atlanta Journal-Constitution,https://adfontesmedia.com/atlanta-journal-constitution-bias-and-reliability/,44.83,-3.84,AJC
Axios,https://adfontesmedia.com/axios-bias-and-reliability/,43.38,-3.31,Axios
Axios Re:Cap,https://adfontesmedia.com/axios-recap-bias-and-reliability/,42.67,-7.06,Axios Re:Cap
Ayman,https://adfontesmedia.com/ayman-bias-and-reliability/,31.56,-15.67,MSNBC: Ayman
AZ Central,https://adfontesmedia.com/az-central-bias-and-reliability/,42.41,-6.89,AZ Central
Bad Faith,https://adfontesmedia.com/bad-faith-bias-and-reliability/,34.73,-25.03,Bad Faith
Baltimore Sun,https://adfontesmedia.com/baltimore-sun-bias-and-reliability/,44.41,-4.13,Baltimore Sun
Banfield,https://adfontesmedia.com/banfield-bias-and-reliability/,36.23,-1.51,NewsNation: Banfield
Bannon’s War Room,https://adfontesmedia.com/bannons-war-room-bias-and-reliability/,11.81,27.22,Bannon's War Room
Barron’s,https://adfontesmedia.com/barrons-bias-and-reliability/,45.25,-0.22,Barron's
BBC,https://adfontesmedia.com/bbc-bias-and-reliability/,44.67,-1.38,British Broadcasting Corporation
BBC World News America,https://adfontesmedia.com/bbc-world-news-america-bias-and-reliability/,,-3.78,BBC: BBC World News America
Bearing Arms,https://adfontesmedia.com/bearing-arms-bias-and-reliability/,26.11,18.81,Bearing Arms
Before It’s News,https://adfontesmedia.com/before-its-news-bias-and-reliability/,6.23,29.41,Before It's News
Bellingcat,https://adfontesmedia.com/bellingcat-bias-and-reliability/,48.39,-2.83,Bellingcat
Benzinga,https://adfontesmedia.com/benzinga-bias-and-reliability/,42.28,0.03,Benzinga
BET,https://adfontesmedia.com/bet-bias-and-reliability/,41.39,-5.7,BET
BGR,https://adfontesmedia.com/bgr-bias-and-reliability/,40.79,-3.6,BGR
Big League Politics,https://adfontesmedia.com/big-league-politics-bias-and-reliability/,18.08,24.99,Big League Politics
Bill O’Reilly,https://adfontesmedia.com/bill-oreilly-bias-and-reliability/,21.72,25.55,Bill O'Reilly
Billboard,https://adfontesmedia.com/billboard-bias-and-reliability/,40.95,-1.84,Billboard
Bipartisan Report,https://adfontesmedia.com/bipartisan-report-bias-and-reliability/,25.13,-18.81,Bipartisan Report
BizPac Review,https://adfontesmedia.com/bizpac-review-bias-and-reliability/,22.42,19.12,BizPac Review
BlackSportsOnline,https://adfontesmedia.com/black-sports-online-bias-and-reliability/,27.41,-6.17,BlackSportsOnline
Bloomberg Government,https://adfontesmedia.com/bloomberg-government-bias-and-reliability/,47.17,-5.37,Bloomberg Government
Bloomberg News,https://adfontesmedia.com/bloomberg-news-bias-and-reliability/,43.51,-2.82,Bloomberg News
BNO,https://adfontesmedia.com/bno-bias-and-reliability/,46.37,-0.4,BNO News
Boing Boing,https://adfontesmedia.com/boing-boing-bias-and-reliability/,19.23,-14.43,Boing Boing
Boom Bust,https://adfontesmedia.com/boom-bust-bias-and-reliability/,40.67,2.44,RT: Boom Bust
Boston Globe,https://adfontesmedia.com/boston-globe-bias-and-reliability/,41.94,-7.85,Boston Globe
Boston Herald,https://adfontesmedia.com/boston-herald-bias-and-reliability/,36.31,9.68,Boston Herald
Breitbart,https://adfontesmedia.com/breitbart-bias-and-reliability/,31.96,14.17,Breitbart
Brian Kilmeade Show,https://adfontesmedia.com/brian-kilmeade-show-bias-and-reliability/,24.7,18.0,Brian Kilmeade Show
Bring Me the News,https://adfontesmedia.com/bring-me-the-news-bias-and-reliability/,46.93,-1.98,Bring Me The News
BroBible,https://adfontesmedia.com/brobible-bias-and-reliability/,23.95,-1.02,BroBible
Business Insider,https://adfontesmedia.com/insider-bias-and-reliability/,40.64,-4.22,Business Insider
BuzzFeed News,https://adfontesmedia.com/buzzfeed-news-bias-and-reliability/,40.09,-6.09,BuzzFeed News
C-SPAN,https://adfontesmedia.com/c-span-bias-and-reliability/,52.0,0.0,C-SPAN Live Stream
Candace Owens,https://adfontesmedia.com/candace-bias-and-reliability/,21.9,19.72,Candace Owens - Daily Wire
Cape Up with Jonathan Capehart,https://adfontesmedia.com/cape-up-with-jonathan-capehart-bias-reliability/,33.89,-15.56,Cape Up with Jonathan Capehart
Capitol Weekly,https://adfontesmedia.com/capitol-weekly-bias-and-reliability/,38.91,-2.4,Capitol Weekly
Cato Institute,https://adfontesmedia.com/cato-institute-bias-and-reliability/,40.22,5.83,Cato Institute
Cavuto Live,https://adfontesmedia.com/cavuto-live-bias-and-reliability/,36.0,10.78,Fox News: Cavuto Live
Cavuto: Coast to Coast,https://adfontesmedia.com/cavuto-coast-to-coast-bias-and-reliability/,36.67,11.0,Fox Business: Cavuto: Coast to Coast
CBN,https://adfontesmedia.com/christian-broadcasting-network-bias-and-reliability/,34.17,15.24,Christian Broadcasting Network
CBS Evening News with Norah O’Donnell,https://adfontesmedia.com/cbs-evening-news-with-norah-odonnell-bias-and-reliability/,49.11,-3.39,CBS Evening News with Norah O'Donnell
CBS Morning News,https://adfontesmedia.com/cbs-morning-news-bias-and-reliability/,45.0,-6.92,CBS: CBS News Mornings
CBS News Website,https://adfontesmedia.com/cbs-bias-and-reliability/,41.78,-2.9,CBS News (website)
CBS Sunday Morning,https://adfontesmedia.com/cbs-sunday-morning-bias-and-reliability/,44.0,-5.61,CBS: CBS Sunday Morning
CFO,https://adfontesmedia.com/cfo-bias-and-reliability/,42.26,0.03,CFO
Chapo Trap House,https://adfontesmedia.com/chapo-trap-house-bias-and-reliability/,20.87,-28.83,Chapo Trap House
Charleston Gazette-Mail,https://adfontesmedia.com/charleston-gazette-mail-bias-and-reliability/,45.43,-3.71,Charleston Gazette-Mail
Chicago Sun-Times,https://adfontesmedia.com/chicago-sun-times-bias-and-reliability/,45.44,-4.35,Chicago Sun-Times
Chicago Tribune,https://adfontesmedia.com/chicago-tribune-bias-and-reliability/,44.67,-4.24,Chicago Tribune
Chicks on the Right,https://adfontesmedia.com/chicks-on-the-right-bias-and-reliability/,24.67,18.58,Chicks On The Right
Chicks on the Right Podcast,https://adfontesmedia.com/chicks-on-right-podcast-bias-and-reliability/,16.71,21.8,Chicks on the Right Podcast
Christian Science Monitor,https://adfontesmedia.com/christian-science-monitor-bias-and-reliability/,44.48,-2.03,Christian Science Monitor
Christianity Today,https://adfontesmedia.com/christianity-today-bias-and-reliability/,41.65,5.48,Christianity Today
Chron.com,https://adfontesmedia.com/chron-com-bias-and-reliability/,46.63,-0.6,Chron.com
Cleveland.com,https://adfontesmedia.com/cleveland-com-bias-and-reliability/,45.01,-0.77,Cleveland.com | Cleveland Plain Dealer
CNBC Website,https://adfontesmedia.com/cnbc/,43.83,-1.74,CNBC (website)
CNET,https://adfontesmedia.com/cnet-bias-and-reliability/,40.02,-1.39,CNET
CNN 5 Things,https://adfontesmedia.com/cnn-5-things-bias-and-reliability/,47.0,-0.67,CNN 5 Things
CNN Newsroom with Jim Acosta,https://adfontesmedia.com/cnn-newsroom-with-jim-acosta/,29.22,-16.83,CNN: CNN Newsroom With Jim Acosta
CNN This Morning,https://adfontesmedia.com/cnn-this-morning-bias-and-reliability/,40.11,-5.89,CNN: CNN This Morning with Kasie Hunt
