Site,Ad Fontes url,Reliability,Bias
#MediaBuzz,https://adfontesmedia.com/mediabuzz-bias-and-reliability/,35.83,9.26
19th News,https://adfontesmedia.com/19th-news-bias-and-reliability/,43.37,-10.73
60 Minutes,https://adfontesmedia.com/60-minutes-bias-and-reliability/,34.29,-8.76
@ Night with Shannon Bream,https://adfontesmedia.com/night-with-shannon-bream-bias-and-reliability/,39.06,17.08
ABC News Website,https://adfontesmedia.com/abc-news-bias-and-reliability/,45.26,-2.94
ABC This Week with George Stephanopoulos,https://adfontesmedia.com/this-week-with-george-stephanopoulos-bias-reliability/,42.44,-7.11
ABC World News Tonight with David Muir,https://adfontesmedia.com/abc-world-news-tonight-with-david-muir/,47.67,-5.9
Abe Lincoln’s Top Hat,https://adfontesmedia.com/abe-lincolns-top-hat-bias-and-reliability/,30.25,-11.75
Advocate Magazine,https://adfontesmedia.com/advocate-magazine-bias-and-reliability/,37.71,-15.41
Agence France-Presse,https://adfontesmedia.com/agence-france-presse-bias-reliability/,47.15,-2.4
Air Force Times,https://adfontesmedia.com/air-force-times-bias-and-reliability/,46.01,1.18
Al Jazeera Website,https://adfontesmedia.com/al-jazeera-bias-and-reliability/,41.48,-7.08
AL.com,https://adfontesmedia.com/al-com-bias-and-reliability/,45.95,-1.31
Alex Witt Reports,https://adfontesmedia.com/alex-witt-reports-bias-and-reliability/,36.25,-14.42
All In with Chris Hayes,https://adfontesmedia.com/all-in-with-chris-hayes-bias-and-reliability/,22.25,-18.46
AlterNet,https://adfontesmedia.com/alternet-bias-and-reliability/,27.03,-17.16
Amanpour,https://adfontesmedia.com/amanpour-bias-and-reliability/,42.78,-7.15
America Dissected,https://adfontesmedia.com/america-dissected-bias-and-reliability/,34.25,-13.73
America First with Sebastian Gorka Podcast,https://adfontesmedia.com/america-first-with-sebastian-gorka-podcast-bias-and-reliability/,16.53,25.08
America Right Now,https://adfontesmedia.com/america-right-now-bias-and-reliability/,13.38,23.46
American Greatness,https://adfontesmedia.com/american-greatness-bias-and-reliability/,18.93,22.45
American Independent,https://adfontesmedia.com/american-independent-bias-reliability/,38.38,-14.61
American Thinker,https://adfontesmedia.com/american-thinker-bias-and-reliability/,13.67,24.85
American Voices with Alicia Menendez,https://adfontesmedia.com/american-voices-alicia-menendez-bias-and-reliability/,33.44,-16
Amicus with Dahlia Lithwick,https://adfontesmedia.com/amicus-dahlia-lithwick-bias-and-reliability/,38.67,-14.59
Anderson Cooper 360,https://adfontesmedia.com/anderson-cooper-360-bias-and-reliability/,33.21,-14.59
Andrea Mitchell Reports,https://adfontesmedia.com/andrea-mitchell-reports-bias-and-reliability/,28.61,-14.15
Aol.com,https://adfontesmedia.com/aol-com-bias-and-reliability/,43.71,-1.86
AP,https://adfontesmedia.com/ap-bias-and-reliability/,45.54,-2.29
Apple News Today,https://adfontesmedia.com/apple-news-today-bias-and-reliability/,44.56,-5.03
Arizona Daily Star,https://adfontesmedia.com/arizona-daily-star-bias-and-reliability/,45.85,-2
Arkansas Democrat-Gazette,https://adfontesmedia.com/arkansas-democrat-gazette-bias-and-reliability/,45.14,0.18
Armchair Expert with Dax Shepard,https://adfontesmedia.com/armchair-expert-with-dax-shepard-bias-and-reliability/,37.42,-9.03
Army Times,https://adfontesmedia.com/army-times-bias-and-reliability/,47.8,0.31
ARS Technica,https://adfontesmedia.com/ars-technica-bias-and-reliability/,45.41,-2.22
Aspen Times,https://adfontesmedia.com/aspen-times-bias-and-reliability/,46.03,-0.53
At this Hour with Kate Bolduan,https://adfontesmedia.com/at-this-hour-with-kate-bolduan-bias-and-reliability/,35.44,-11.44
Atlanta Black Star,https://adfontesmedia.com/atlanta-black-star-bias-and-reliability/,44.58,-6.37
Atlanta Journal-Constitution,https://adfontesmedia.com/atlanta-journal-constitution-bias-and-reliability/,44.83,-3.84
Axios,https://adfontesmedia.com/axios-bias-and-reliability/,43.41,-3.23
Axios Re:Cap,https://adfontesmedia.com/axios-recap-bias-and-reliability/,42.67,-7.06
Ayman,https://adfontesmedia.com/ayman-bias-and-reliability/,31.56,-15.67
AZ Central,https://adfontesmedia.com/az-central-bias-and-reliability/,42.41,-6.89
Bad Faith,https://adfontesmedia.com/bad-faith-bias-and-reliability/,34.73,-25.03
Baltimore Sun,https://adfontesmedia.com/baltimore-sun-bias-and-reliability/,44.41,-4.13
Banfield,https://adfontesmedia.com/banfield-bias-and-reliability/,36.23,-1.51
Bannon’s War Room,https://adfontesmedia.com/bannons-war-room-bias-and-reliability/,11.81,27.22
Barron’s,https://adfontesmedia.com/barrons-bias-and-reliability/,45.25,-0.22
BBC,https://adfontesmedia.com/bbc-bias-and-reliability/,44.67,-1.38
BBC World News America,https://adfontesmedia.com/bbc-world-news-america-bias-and-reliability/,,-3.78
Bearing Arms,https://adfontesmedia.com/bearing-arms-bias-and-reliability/,26.11,18.81
Before It’s News,https://adfontesmedia.com/before-its-news-bias-and-reliability/,6.23,29.41
Bellingcat,https://adfontesmedia.com/bellingcat-bias-and-reliability/,48.39,-2.83
Benzinga,https://adfontesmedia.com/benzinga-bias-and-reliability/,42.28,0.03
BET,https://adfontesmedia.com/bet-bias-and-reliability/,41.39,-5.7
BGR,https://adfontesmedia.com/bgr-bias-and-reliability/,40.79,-3.6
Big League Politics,https://adfontesmedia.com/big-league-politics-bias-and-reliability/,18.08,24.99
Bill O’Reilly,https://adfontesmedia.com/bill-oreilly-bias-and-reliability/,21.72,25.55
Billboard,https://adfontesmedia.com/billboard-bias-and-reliability/,40.95,-1.84
Bipartisan Report,https://adfontesmedia.com/bipartisan-report-bias-and-reliability/,25.13,-18.81
BizPac Review,https://adfontesmedia.com/bizpac-review-bias-and-reliability/,22.42,19.12
BlackSportsOnline,https://adfontesmedia.com/black-sports-online-bias-and-reliability/,27.41,-6.17
Bloomberg Government,https://adfontesmedia.com/bloomberg-government-bias-and-reliability/,47.17,-5.37
Bloomberg News,https://adfontesmedia.com/bloomberg-news-bias-and-reliability/,43.51,-2.82
BNO,https://adfontesmedia.com/bno-bias-and-reliability/,46.37,-0.4
Boing Boing,https://adfontesmedia.com/boing-boing-bias-and-reliability/,19.23,-14.43
Boom Bust,https://adfontesmedia.com/boom-bust-bias-and-reliability/,40.67,2.44
Boston Globe,https://adfontesmedia.com/boston-globe-bias-and-reliability/,41.94,-7.85
Boston Herald,https://adfontesmedia.com/boston-herald-bias-and-reliability/,36.31,9.68
Breitbart,https://adfontesmedia.com/breitbart-bias-and-reliability/,31.96,14.17
Brian Kilmeade Show,https://adfontesmedia.com/brian-kilmeade-show-bias-and-reliability/,24.7,18
Bring Me the News,https://adfontesmedia.com/bring-me-the-news-bias-and-reliability/,46.93,-1.98
BroBible,https://adfontesmedia.com/brobible-bias-and-reliability/,23.95,-1.02
Business Insider,https://adfontesmedia.com/insider-bias-and-reliability/,40.64,-4.22
BuzzFeed News,https://adfontesmedia.com/buzzfeed-news-bias-and-reliability/,40.09,-6.09
C-SPAN,https://adfontesmedia.com/c-span-bias-and-reliability/,52,0
Candace Owens,https://adfontesmedia.com/candace-bias-and-reliability/,21.9,19.72
Cape Up with Jonathan Capehart,https://adfontesmedia.com/cape-up-with-jonathan-capehart-bias-reliability/,33.89,-15.56
Capitol Weekly,https://adfontesmedia.com/capitol-weekly-bias-and-reliability/,38.91,-2.4
Cato Institute,https://adfontesmedia.com/cato-institute-bias-and-reliability/,40.6,6.02
Cavuto Live,https://adfontesmedia.com/cavuto-live-bias-and-reliability/,36,10.78
Cavuto: Coast to Coast,https://adfontesmedia.com/cavuto-coast-to-coast-bias-and-reliability/,36.67,11
CBN,https://adfontesmedia.com/christian-broadcasting-network-bias-and-reliability/,34.17,15.24
CBS Evening News with Norah O’Donnell,https://adfontesmedia.com/cbs-evening-news-with-norah-odonnell-bias-and-reliability/,49.11,-3.39
CBS Morning News,https://adfontesmedia.com/cbs-morning-news-bias-and-reliability/,45,-6.92
CBS News Website,https://adfontesmedia.com/cbs-bias-and-reliability/,41.78,-2.95
CBS Sunday Morning,https://adfontesmedia.com/cbs-sunday-morning-bias-and-reliability/,44,-5.61
CFO,https://adfontesmedia.com/cfo-bias-and-reliability/,42.26,0.03
Chapo Trap House,https://adfontesmedia.com/chapo-trap-house-bias-and-reliability/,20.87,-28.83
Charleston Gazette-Mail,https://adfontesmedia.com/charleston-gazette-mail-bias-and-reliability/,45.43,-3.71
Chicago Sun-Times,https://adfontesmedia.com/chicago-sun-times-bias-and-reliability/,45.44,-4.35
Chicago Tribune,https://adfontesmedia.com/chicago-tribune-bias-and-reliability/,44.67,-4.24
Chicks on the Right,https://adfontesmedia.com/chicks-on-the-right-bias-and-reliability/,24.67,18.58
Chicks on the Right Podcast,https://adfontesmedia.com/chicks-on-right-podcast-bias-and-reliability/,16.71,21.8
Christian Science Monitor,https://adfontesmedia.com/christian-science-monitor-bias-and-reliability/,44.48,-2.03
Christianity Today,https://adfontesmedia.com/christianity-today-bias-and-reliability/,41.65,5.48
Chron.com,https://adfontesmedia.com/chron-com-bias-and-reliability/,46.63,-0.6
Cleveland.com,https://adfontesmedia.com/cleveland-com-bias-and-reliability/,45.01,-0.77
CNBC Website,https://adfontesmedia.com/cnbc/,43.85,-1.65
CNET,https://adfontesmedia.com/cnet-bias-and-reliability/,40.02,-1.39
CNN 5 Things,https://adfontesmedia.com/cnn-5-things-bias-and-reliability/,47,-0.67
CNN Newsroom with Jim Acosta,https://adfontesmedia.com/cnn-newsroom-with-jim-acosta/,29.22,-16.83
CNN This Morning,https://adfontesmedia.com/cnn-this-morning-bias-and-reliability/,40.11,-5.89
CNN Website,https://adfontesmedia.com/cnn-bias-and-reliability/,42.14,-6.55
CNSNews,https://adfontesmedia.com/cnsnews-bias-and-reliability/,34.2,15.75
Code Switch,https://adfontesmedia.com/code-switch-bias-and-reliability/,36.87,-16.54
Colorado Daily,https://adfontesmedia.com/colorado-daily-bias-and-reliability/,45.38,-2.44
Columbia Journalism Review,https://adfontesmedia.com/columbia-journalism-review-bias-and-reliability/,43.22,-6.39
Comic Sands,https://adfontesmedia.com/comic-sands-bias-and-reliability/,27.39,-17.13
Common Dreams,https://adfontesmedia.com/common-dreams-bias-and-reliability/,38.95,-16.77
Conservative Review,https://adfontesmedia.com/conservative-review-bias-and-reliability/,27.59,17.84
Consider This from NPR,https://adfontesmedia.com/consider-this-from-npr-bias-and-reliability/,42.95,-5.97
Consortium News,https://adfontesmedia.com/consortium-news-bias-reliability/,24.38,-18.25
Cosmopolitan,https://adfontesmedia.com/cosmopolitan-bias-and-reliability/,23.43,-13.65
CounterPunch,https://adfontesmedia.com/counterpunch-bias-and-reliability/,20.98,-21.73
Crooks and Liars,https://adfontesmedia.com/crooks-and-liars-bias-and-reliability/,26.19,-21.12
CrossTalk,https://adfontesmedia.com/crosstalk-bias-and-reliability/,16.15,3.27
Cuomo,https://adfontesmedia.com/cuomo-bias-and-reliability/,31.05,-5.31
Cuomo Prime Time,https://adfontesmedia.com/cuomo-prime-time-bias-and-reliability/,33.47,-18
Current Affairs,https://adfontesmedia.com/current-affairs-bias-and-reliability/,34.3,-18.14
Daily Beast,https://adfontesmedia.com/daily-beast-bias-reliability/,33.49,-11.42
Daily Caller,https://adfontesmedia.com/daily-caller-bias-and-reliability/,31.74,15.13
Daily Dot,https://adfontesmedia.com/daily-dot-bias-and-reliability/,25.29,-10.16
Daily Herald-Chicago,https://adfontesmedia.com/daily-herald-chicago-bias-and-reliability/,46.05,-0.19
Daily Kos,https://adfontesmedia.com/daily-kos-bias-and-reliability/,27.38,-18.3
Daily Mail,https://adfontesmedia.com/daily-mail-bias-and-reliability/,31.68,4
Daily Torch,https://adfontesmedia.com/daily-torch-bias-and-reliability/,18.06,20.28
Daily Wire,https://adfontesmedia.com/daily-wire-bias-and-reliability/,31.05,13.21
Dallas Morning News,https://adfontesmedia.com/dallas-morning-news-bias-reliability/,43.8,-2.92
Dan Abrams Live,https://adfontesmedia.com/dan-abrams-live-bias-and-reliability/,35.16,6.36
Dark to Light with Frank & Beanz,https://adfontesmedia.com/dark-light-frank-beanz-bias-and-reliability/,14.29,24.25
Deadline,https://adfontesmedia.com/deadline-bias-and-reliability/,41.47,-4.73
Deadline White House,https://adfontesmedia.com/deadline-white-house-bias-and-reliability/,27.55,-20.39
Deadspin,https://adfontesmedia.com/deadspin-bias-and-reliability/,27.08,-14.48
Deconstructed,https://adfontesmedia.com/deconstructed-bias-and-reliability/,34.46,-13.63
Deep State Radio,https://adfontesmedia.com/deep-state-radio-bias-and-reliability/,40.22,-3.22
Defense News,https://adfontesmedia.com/defense-news-bias-and-reliability/,44.67,2.7
Democracy Now! TV Program,https://adfontesmedia.com/democracy-now-tv-program-bias-and-reliability/,35.87,-16.81
Democracy Now! Website,https://adfontesmedia.com/democracy-now-bias-and-reliability/,31.68,-16.15
Denver Post,https://adfontesmedia.com/denver-post-bias-and-reliability/,45.43,-2.86
Deseret News,https://adfontesmedia.com/deseret-news-bias-and-reliability/,42.29,2.55
Detroit Free Press,https://adfontesmedia.com/detroit-free-press-bias-and-reliability/,43.46,-5.43
Detroit News,https://adfontesmedia.com/detroit-news-bias-and-reliability/,45.92,-2.2
Diamond and Silk Crystal Clear,https://adfontesmedia.com/diamond-silk-crystal-clear-bias-and-reliability/,14.33,24.5
Divided We Fall,https://adfontesmedia.com/divided-we-fall-bias-and-reliability/,37.33,-3.16
Dollar and Sense Podcast,https://adfontesmedia.com/dollar-sense-podcast-bias-and-reliability/,42.11,-3.56
Don Lemon Tonight,https://adfontesmedia.com/don-lemon-tonight-bias-and-reliability/,31.24,-19.83
E! News,https://adfontesmedia.com/e-news-bias-and-reliability/,36.48,0.01
Early Start with Christine Romans,https://adfontesmedia.com/early-start-with-christine-romans-and-laura-jarrett/,43.2,-7.98
Economic Policy Institute,https://adfontesmedia.com/economic-policy-institute-bias-and-reliability/,42.04,-10.49
Education Week,https://adfontesmedia.com/education-week-bias-and-reliability/,43.11,-3.02
Elite Daily,https://adfontesmedia.com/elite-daily-bias-and-reliability/,34.05,-10.78
Elle,https://adfontesmedia.com/elle-bias-and-reliability/,36.48,-8.51
Engadget,https://adfontesmedia.com/engadget-bias-and-reliability/,44.33,-3.03
Entertainment Weekly,https://adfontesmedia.com/entertainment-weekly-bias-and-reliability/,41.16,-2.22
Erin Burnett OutFront,https://adfontesmedia.com/erin-burnett-outfront-bias-and-reliability/,37.32,-11.91
Esquire,https://adfontesmedia.com/esquire-bias-and-reliability/,27.09,-18.28
ET Online,https://adfontesmedia.com/et-online-bias-and-reliability/,42.41,-0.1
Face the Nation,https://adfontesmedia.com/face-the-nation-bias-and-reliability/,46.58,-3
FactCheck.org,https://adfontesmedia.com/factcheck-org-bias-and-reliability/,46.2,-1.76
Facts Matter with Roman Balmakov,https://adfontesmedia.com/facts-matter-roman-balmakov-bias-and-reliability/,27.29,16.67
FAIR,https://adfontesmedia.com/fair-bias-and-reliability/,32.6,-19.36
Fair Observer,https://adfontesmedia.com/fair-observer-bias-and-reliability/,36.19,-9.15
Fareed Zakaria GPS,https://adfontesmedia.com/fareed-zakaria-gps-bias-and-reliability/,38.58,-10.85
Fast Company,https://adfontesmedia.com/fast-company-bias-and-reliability/,41.04,-7.98
Fast Money,https://adfontesmedia.com/fast-money-bias-and-reliability/,39.11,-1.44
Financial Buzz,https://adfontesmedia.com/financial-buzz-bias-and-reliability/,46.59,-0.03
Financial Times,https://adfontesmedia.com/financial-times-bias-and-reliability/,44.47,-3.86
Firebrand with Matt Gaetz,https://adfontesmedia.com/firebrand-with-matt-gaetz-bias-and-reliability/,18.33,19.8
Firing Line with Margaret Hoover,https://adfontesmedia.com/firing-line-with-margaret-hoover-bias-and-reliability/,40.92,-1.17
Fiscal Times,https://adfontesmedia.com/fiscal-times-bias-and-reliability/,44.85,-0.38
FiveThirtyEight,https://adfontesmedia.com/fivethirtyeight-bias-and-reliability/,42.83,-6.35
FiveThirtyEight Politics,https://adfontesmedia.com/fivethirtyeight-politics-bias-and-reliability/,38.29,-9.05
Forbes,https://adfontesmedia.com/forbes-bias-and-reliability/,40.42,-2.75
Foreign Affairs,https://adfontesmedia.com/foreign-affairs-bias-and-reliability/,44.56,-6.55
Foreign Policy,https://adfontesmedia.com/foreign-policy-bias-and-reliability/,42.37,-4.19
Fortune,https://adfontesmedia.com/fortune-bias-and-reliability/,37.97,-1.7
Forward,https://adfontesmedia.com/forward-bias-and-reliability/,40.45,-7.37
Forward with Andrew Yang,https://adfontesmedia.com/forward-with-andrew-yang-bias-and-reliability/,32.89,-11.11
Fox & Friends,https://adfontesmedia.com/fox-friends-bias-and-reliability/,30.67,21
Fox & Friends First,https://adfontesmedia.com/fox-friends-first-bias-and-reliability/,35.67,13.42
Fox Business Tonight,https://adfontesmedia.com/fox-business-tonight-bias-and-reliability/,33.83,12.17
Fox Business Website,https://adfontesmedia.com/fox-business-bias-and-reliability/,38.55,9.31
Fox News @ Night w/ Trace Gallagher,https://adfontesmedia.com/fox-news-night-w-trace-gallagher-bias-and-reliability/,24.97,17.1
Fox News Primetime,https://adfontesmedia.com/fox-news-primetime-bias-and-reliability/,28.72,18.07
Fox News Rundown,https://adfontesmedia.com/fox-news-rundown-bias-and-reliability/,42.42,7.6
Fox News Sunday with Chris Wallace,https://adfontesmedia.com/fox-news-sunday-with-chris-wallace-bias-and-reliability/,40.02,12.78
Fox News Sunday with Shannon Bream,https://adfontesmedia.com/fox-news-sunday-shannon-bream-bias-and-reliability/,40.07,11.1
Fox News Website,https://adfontesmedia.com/fox-news-bias-and-reliability/,35.14,11.57
Frangela: The Final Word,https://adfontesmedia.com/frangela-the-final-word-bias-and-reliability/,18.07,-27.27
Freakonomics Radio,https://adfontesmedia.com/freakonomics-radio-bias-and-reliability/,40.67,-7.64
Fresh Air,https://adfontesmedia.com/fresh-air-bias-and-reliability/,43.67,-6.73
Frontline,https://adfontesmedia.com/frontline-bias-and-reliability/,47.89,-5.72
FrontPage Mag,https://adfontesmedia.com/frontpage-mag-bias-and-reliability/,17.86,23.94
Full Frontal with Samantha Bee,https://adfontesmedia.com/full-frontal-with-samantha-bee-bias-and-reliability/,24.61,-21.22
Full Measure,https://adfontesmedia.com/full-measure-bias-and-reliability/,42.2,6.3
Gaslit Nation,https://adfontesmedia.com/gaslit-nation-bias-and-reliability/,19.78,-29.5
Glamour,https://adfontesmedia.com/glamour-bias-and-reliability/,37.28,-8.75
Glenn Beck,https://adfontesmedia.com/glenn-beck-bias-and-reliability/,21.14,23.46
Glenn Greenwald,https://adfontesmedia.com/glenn-greenwald-bias-and-reliability/,36.42,10.91
Glenn TV,https://adfontesmedia.com/glenn-tv-bias-and-reliability/,16.12,17.89
Global News,https://adfontesmedia.com/global-news-bias-and-reliability/,44.54,-4.26
Good Morning America,https://adfontesmedia.com/good-morning-america-bias-and-reliability/,41.75,-4.81
Good News Network,https://adfontesmedia.com/good-news-network-bias-and-reliability/,42.57,-1.43
