state,end_date,pollster_rating_name,poll_id,partisan,sample_size,methodology,population,candidate_name,pct,raw_sample_size,candidates_tested,poll_sample_size_weight,number_options,undecided,numeric_grade,pollster_wt,cumulative_poll_wt,methodology_simple,region_computed,region_census_big,region_census_small
Massachusetts,2024-07-18,Suffolk University,87491,center/independent,500,Live Phone,rv,Robert F. Kennedy,7.8,500,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.704644825207817,6,16.0,2.93,1.148078687111369,1.148078687111369,Live Phone,New England,Northeast,New England
Massachusetts,2024-07-18,Suffolk University,87491,center/independent,500,Live Phone,rv,Joe Biden,47.2,500,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.704644825207817,6,16.0,2.93,1.148078687111369,1.148078687111369,Live Phone,New England,Northeast,New England
Massachusetts,2024-07-18,Suffolk University,87491,center/independent,500,Live Phone,rv,Donald Trump,29.0,500,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.704644825207817,6,16.0,2.93,1.148078687111369,1.148078687111369,Live Phone,New England,Northeast,New England
Michigan,2024-07-18,Public Policy Polling,87486,left,650,IVR/Text,rv,Robert F. Kennedy,5.0,650,Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.8034187131252305,4,6.0,1.32,0.940585398419418,0.940585398419418,IVR/Mostly IVR,Rust Belt,Midwest,East North Central
Michigan,2024-07-18,Public Policy Polling,87486,left,650,IVR/Text,rv,Joe Biden,44.0,650,Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.8034187131252305,4,6.0,1.32,0.940585398419418,0.940585398419418,IVR/Mostly IVR,Rust Belt,Midwest,East North Central
Michigan,2024-07-18,Public Policy Polling,87486,left,650,IVR/Text,rv,Donald Trump,45.0,650,Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.8034187131252305,4,6.0,1.32,0.940585398419418,0.940585398419418,IVR/Mostly IVR,Rust Belt,Midwest,East North Central
Pennsylvania,2024-07-18,Public Policy Polling,87485,left,624,IVR/Text,rv,Robert F. Kennedy,4.0,624,Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.7871863587841251,4,8.0,1.32,0.940585398419418,0.940585398419418,IVR/Mostly IVR,Rust Belt,Midwest,Middle Atlantic
Pennsylvania,2024-07-18,Public Policy Polling,87485,left,624,IVR/Text,rv,Joe Biden,42.0,624,Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.7871863587841251,4,8.0,1.32,0.940585398419418,0.940585398419418,IVR/Mostly IVR,Rust Belt,Midwest,Middle Atlantic
Pennsylvania,2024-07-18,Public Policy Polling,87485,left,624,IVR/Text,rv,Donald Trump,46.0,624,Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.7871863587841251,4,8.0,1.32,0.940585398419418,0.940585398419418,IVR/Mostly IVR,Rust Belt,Midwest,Middle Atlantic
National,2024-07-18,YouGov,87483,center/independent,1500,Online Panel,lv,Joe Biden,47.0,2241,Donald Trump Joe Biden,1.491784852343071,2,1.0,2.98,1.1529455986082322,0.7605592003503581,Online Non-Prob Panel,,,
National,2024-07-18,YouGov,87483,center/independent,1500,Online Panel,lv,Donald Trump,52.0,2241,Donald Trump Joe Biden,1.491784852343071,2,1.0,2.98,1.1529455986082322,0.7605592003503581,Online Non-Prob Panel,,,
National,2024-07-17,SoCal Research,87481,center/independent,800,Online Panel,lv,Joe Biden,45.0,800,Donald Trump Joe Biden,0.8913130356431728,2,4.0,,1.0,1.0,Online Non-Prob Panel,,,
National,2024-07-17,SoCal Research,87481,center/independent,800,Online Panel,lv,Donald Trump,51.0,800,Donald Trump Joe Biden,0.8913130356431728,2,4.0,,1.0,1.0,Online Non-Prob Panel,,,
Wisconsin,2024-07-17,Trafalgar Group,87490,right,1087,IVR/Live Phone/Text/Online Panel/Email,lv,Robert F. Kennedy,2.5,1087,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,1.0389628928651613,6,8.900000000000006,0.62,0.7786686180369777,0.7786686180369777,Includes Live Phone,Rust Belt,Midwest,East North Central
Wisconsin,2024-07-17,Trafalgar Group,87490,right,1087,IVR/Live Phone/Text/Online Panel/Email,lv,Joe Biden,43.0,1087,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,1.0389628928651613,6,8.900000000000006,0.62,0.7786686180369777,0.7786686180369777,Includes Live Phone,Rust Belt,Midwest,East North Central
Wisconsin,2024-07-17,Trafalgar Group,87490,right,1087,IVR/Live Phone/Text/Online Panel/Email,lv,Donald Trump,45.6,1087,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,1.0389628928651613,6,8.900000000000006,0.62,0.7786686180369777,0.7786686180369777,Includes Live Phone,Rust Belt,Midwest,East North Central
Michigan,2024-07-17,Trafalgar Group,87489,right,1091,IVR/Live Phone/Text/Online Panel/Email,lv,Robert F. Kennedy,4.0,1091,Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,1.0408727527360306,5,7.900000000000006,0.62,0.7786686180369777,0.7786686180369777,Includes Live Phone,Rust Belt,Midwest,East North Central
Michigan,2024-07-17,Trafalgar Group,87489,right,1091,IVR/Live Phone/Text/Online Panel/Email,lv,Joe Biden,43.0,1091,Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,1.0408727527360306,5,7.900000000000006,0.62,0.7786686180369777,0.7786686180369777,Includes Live Phone,Rust Belt,Midwest,East North Central
Michigan,2024-07-17,Trafalgar Group,87489,right,1091,IVR/Live Phone/Text/Online Panel/Email,lv,Donald Trump,45.1,1091,Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,1.0408727527360306,5,7.900000000000006,0.62,0.7786686180369777,0.7786686180369777,Includes Live Phone,Rust Belt,Midwest,East North Central
National,2024-07-17,RMG Research,87482,center/independent,1500,,lv,Joe Biden,46.0,2725,Donald Trump Joe Biden,1.6450099078188691,2,3.0,2.34,1.0853222688953978,1.0853222688953978,Other,,,
National,2024-07-17,RMG Research,87482,center/independent,1500,,lv,Donald Trump,51.0,2725,Donald Trump Joe Biden,1.6450099078188691,2,3.0,2.34,1.0853222688953978,1.0853222688953978,Other,,,
National,2024-07-17,Morning Consult,87478,center/independent,1500,Online Panel,rv,Joe Biden,42.0,9414,Donald Trump Joe Biden,1.836678059957297,2,12.0,1.8,1.016419236906677,0.6704973790399477,Online Non-Prob Panel,,,
National,2024-07-17,Morning Consult,87478,center/independent,1500,Online Panel,rv,Donald Trump,46.0,9414,Donald Trump Joe Biden,1.836678059957297,2,12.0,1.8,1.016419236906677,0.6704973790399477,Online Non-Prob Panel,,,
