population,candidate_name,end_date,da_by_pop
a,Donald Trump,2021-04-07,
a,Donald Trump,2021-04-08,
a,Donald Trump,2021-04-09,
a,Donald Trump,2021-04-10,
a,Donald Trump,2021-04-11,
a,Donald Trump,2021-04-12,
a,Donald Trump,2021-04-13,
a,Donald Trump,2021-04-14,
a,Donald Trump,2021-04-15,
a,Donald Trump,2021-04-16,28.0
a,Donald Trump,2021-04-17,
a,Donald Trump,2021-04-18,
a,Donald Trump,2021-04-19,
a,Donald Trump,2021-04-20,
a,Donald Trump,2021-04-21,
a,Donald Trump,2021-04-22,
a,Donald Trump,2021-04-23,
a,Donald Trump,2021-04-24,
a,Donald Trump,2021-04-25,
a,Donald Trump,2021-04-26,
a,Donald Trump,2021-04-27,
a,Donald Trump,2021-04-28,
a,Donald Trump,2021-04-29,
a,Donald Trump,2021-04-30,
a,Donald Trump,2021-05-01,
a,Donald Trump,2021-05-02,
a,Donald Trump,2021-05-03,
a,Donald Trump,2021-05-04,
a,Donald Trump,2021-05-05,
a,Donald Trump,2021-05-06,
a,Donald Trump,2021-05-07,
a,Donald Trump,2021-05-08,
a,Donald Trump,2021-05-09,
a,Donald Trump,2021-05-10,
a,Donald Trump,2021-05-11,
a,Donald Trump,2021-05-12,
a,Donald Trump,2021-05-13,36.0
a,Donald Trump,2021-05-14,
a,Donald Trump,2021-05-15,
a,Donald Trump,2021-05-16,
a,Donald Trump,2021-05-17,
a,Donald Trump,2021-05-18,
a,Donald Trump,2021-05-19,
a,Donald Trump,2021-05-20,
a,Donald Trump,2021-05-21,
a,Donald Trump,2021-05-22,
a,Donald Trump,2021-05-23,
a,Donald Trump,2021-05-24,
a,Donald Trump,2021-05-25,
a,Donald Trump,2021-05-26,36.0
a,Donald Trump,2021-05-27,
a,Donald Trump,2021-05-28,
a,Donald Trump,2021-05-29,
a,Donald Trump,2021-05-30,
a,Donald Trump,2021-05-31,
a,Donald Trump,2021-06-01,
a,Donald Trump,2021-06-02,
a,Donald Trump,2021-06-03,
a,Donald Trump,2021-06-04,
a,Donald Trump,2021-06-05,
a,Donald Trump,2021-06-06,
a,Donald Trump,2021-06-07,
a,Donald Trump,2021-06-08,
a,Donald Trump,2021-06-09,
a,Donald Trump,2021-06-10,
a,Donald Trump,2021-06-11,
a,Donald Trump,2021-06-12,
a,Donald Trump,2021-06-13,
a,Donald Trump,2021-06-14,
a,Donald Trump,2021-06-15,
a,Donald Trump,2021-06-16,
a,Donald Trump,2021-06-17,
a,Donald Trump,2021-06-18,
a,Donald Trump,2021-06-19,
a,Donald Trump,2021-06-20,
a,Donald Trump,2021-06-21,
a,Donald Trump,2021-06-22,
a,Donald Trump,2021-06-23,
a,Donald Trump,2021-06-24,35.0
a,Donald Trump,2021-06-25,
a,Donald Trump,2021-06-26,
a,Donald Trump,2021-06-27,
a,Donald Trump,2021-06-28,
a,Donald Trump,2021-06-29,
a,Donald Trump,2021-06-30,
a,Donald Trump,2021-07-01,
a,Donald Trump,2021-07-02,
a,Donald Trump,2021-07-03,
a,Donald Trump,2021-07-04,
a,Donald Trump,2021-07-05,
a,Donald Trump,2021-07-06,
a,Donald Trump,2021-07-07,
a,Donald Trump,2021-07-08,
a,Donald Trump,2021-07-09,
a,Donald Trump,2021-07-10,
a,Donald Trump,2021-07-11,
a,Donald Trump,2021-07-12,
a,Donald Trump,2021-07-13,
a,Donald Trump,2021-07-14,
a,Donald Trump,2021-07-15,
a,Donald Trump,2021-07-16,
a,Donald Trump,2021-07-17,
a,Donald Trump,2021-07-18,
a,Donald Trump,2021-07-19,
a,Donald Trump,2021-07-20,
a,Donald Trump,2021-07-21,
a,Donald Trump,2021-07-22,
a,Donald Trump,2021-07-23,
a,Donald Trump,2021-07-24,
a,Donald Trump,2021-07-25,
a,Donald Trump,2021-07-26,
a,Donald Trump,2021-07-27,
