population,candidate_name,end_date,da_by_pop,pop_raverage7
 Registered voters,Donald Trump,2024-09-18,44.0,44.0
 Registered voters,Donald Trump,2024-09-17,44.0,44.0
 Registered voters,Donald Trump,2024-09-16,46.375,46.375
 Registered voters,Donald Trump,2024-09-15,44.25,44.25
 Registered voters,Donald Trump,2024-09-14,45.66666666666666,45.66666666666666
 Registered voters,Donald Trump,2024-09-13,45.66666666666666,45.66666666666666
 Registered voters,Donald Trump,2024-09-12,42.0,42.0
 Registered voters,Donald Trump,2024-09-11,45.0,45.0
 Registered voters,Donald Trump,2024-09-10,45.0,45.0
 Registered voters,Donald Trump,2024-09-09,42.73333333333333,42.73333333333333
 Registered voters,Donald Trump,2024-09-08,42.73333333333333,42.73333333333333
 Registered voters,Donald Trump,2024-09-07,42.61666666666667,42.61666666666667
 Registered voters,Donald Trump,2024-09-06,42.61666666666667,42.61666666666667
 Registered voters,Donald Trump,2024-09-05,47.1,47.1
 Registered voters,Donald Trump,2024-09-04,44.0,44.0
 Registered voters,Donald Trump,2024-09-03,47.6,47.6
 Registered voters,Donald Trump,2024-09-02,47.0,47.0
 Registered voters,Donald Trump,2024-09-01,45.5,45.5
 Registered voters,Donald Trump,2024-08-31,47.66666666666666,47.66666666666666
 Registered voters,Donald Trump,2024-08-30,42.0,42.0
 Registered voters,Donald Trump,2024-08-29,48.0,48.0
 Registered voters,Donald Trump,2024-08-28,42.971428571428575,42.971428571428575
 Registered voters,Donald Trump,2024-08-27,48.0,48.0
 Registered voters,Donald Trump,2024-08-26,46.04,46.04
 Registered voters,Donald Trump,2024-08-25,43.35,43.35
 Registered voters,Donald Trump,2024-08-24,45.0,45.0
 Registered voters,Donald Trump,2024-08-23,43.8,43.8
 Registered voters,Donald Trump,2024-08-22,45.54,45.54
 Registered voters,Donald Trump,2024-08-21,43.0,43.0
 Registered voters,Donald Trump,2024-08-20,43.66666666666666,43.66666666666666
 Registered voters,Donald Trump,2024-08-19,44.0,44.0
 Registered voters,Donald Trump,2024-08-18,43.56666666666666,43.56666666666666
 Registered voters,Donald Trump,2024-08-17,44.0,44.0
 Registered voters,Donald Trump,2024-08-16,44.2,44.2
 Registered voters,Donald Trump,2024-08-15,45.15,45.15
 Registered voters,Donald Trump,2024-08-14,46.2,46.2
 Registered voters,Donald Trump,2024-08-13,44.5,44.5
 Registered voters,Donald Trump,2024-08-12,47.675,47.675
 Registered voters,Donald Trump,2024-08-11,43.39166666666667,43.39166666666667
 Registered voters,Donald Trump,2024-08-10,44.0,44.0
 Registered voters,Donald Trump,2024-08-09,48.333333333333336,48.333333333333336
 Registered voters,Donald Trump,2024-08-08,44.81666666666666,44.81666666666666
 Registered voters,Donald Trump,2024-08-07,43.5,43.5
 Registered voters,Donald Trump,2024-08-06,43.5,43.5
 Registered voters,Donald Trump,2024-08-05,44.5,44.5
 Registered voters,Donald Trump,2024-08-04,46.25,46.25
 Registered voters,Donald Trump,2024-08-03,45.75,45.75
 Registered voters,Donald Trump,2024-08-02,44.0,44.0
 Registered voters,Donald Trump,2024-08-01,45.0,45.0
 Registered voters,Donald Trump,2024-07-31,43.0,43.0
 Registered voters,Donald Trump,2024-07-30,46.333333333333336,46.333333333333336
 Registered voters,Donald Trump,2024-07-29,45.0,45.0
 Registered voters,Donald Trump,2024-07-28,45.8,45.8
 Registered voters,Donald Trump,2024-07-27,44.333333333333336,44.333333333333336
 Registered voters,Donald Trump,2024-07-26,47.96666666666667,47.96666666666667
 Registered voters,Donald Trump,2024-07-25,46.06666666666666,46.06666666666666
 Registered voters,Donald Trump,2024-07-24,46.15652173913043,46.15652173913043
 Registered voters,Donald Trump,2024-07-23,46.82857142857143,46.82857142857143
 Registered voters,Donald Trump,2024-07-22,45.0,45.0
 Registered voters,Donald Trump,2024-07-21,45.78125,45.78125
 Registered voters,Donald Trump,2024-07-20,47.125,47.125
 Registered voters,Donald Trump,2024-07-19,44.11111111111112,44.11111111111112
 Registered voters,Donald Trump,2024-07-18,44.11111111111112,44.11111111111112
 Registered voters,Donald Trump,2024-07-17,41.125,41.125
 Registered voters,Donald Trump,2024-07-16,45.32142857142857,45.32142857142857
 Registered voters,Donald Trump,2024-07-15,45.388888888888886,45.388888888888886
 Registered voters,Donald Trump,2024-07-14,40.56666666666667,40.56666666666667
 Registered voters,Donald Trump,2024-07-13,42.1,42.1
 Registered voters,Donald Trump,2024-07-12,45.85,45.85
 Registered voters,Donald Trump,2024-07-11,46.77272727272727,46.77272727272727
 Registered voters,Donald Trump,2024-07-10,47.27272727272727,47.27272727272727
 Registered voters,Donald Trump,2024-07-09,44.11111111111112,44.11111111111112
 Registered voters,Donald Trump,2024-07-08,47.5,47.5
 Registered voters,Donald Trump,2024-07-07,43.8,43.8
 Registered voters,Donald Trump,2024-07-06,44.0,44.0
 Registered voters,Donald Trump,2024-07-05,43.142857142857146,43.142857142857146
 Registered voters,Donald Trump,2024-07-04,45.66666666666666,45.66666666666666
 Registered voters,Donald Trump,2024-07-03,41.3,41.3
 Registered voters,Donald Trump,2024-07-02,43.7,43.7
 Registered voters,Donald Trump,2024-07-01,47.0,47.0
 Registered voters,Donald Trump,2024-06-30,45.285,45.285
 Registered voters,Donald Trump,2024-06-29,44.1,44.1
 Registered voters,Donald Trump,2024-06-28,42.7,42.7
 Registered voters,Donald Trump,2024-06-27,41.66666666666666,41.66666666666666
 Registered voters,Donald Trump,2024-06-26,47.05,47.05
 Registered voters,Donald Trump,2024-06-25,43.25,43.25
 Registered voters,Donald Trump,2024-06-24,42.4875,42.4875
 Registered voters,Donald Trump,2024-06-23,44.0,44.0
 Registered voters,Donald Trump,2024-06-22,44.0,44.0
 Registered voters,Donald Trump,2024-06-21,44.0,44.0
 Registered voters,Donald Trump,2024-06-20,43.16666666666666,43.16666666666666
 Registered voters,Donald Trump,2024-06-19,48.775,48.775
 Registered voters,Donald Trump,2024-06-18,46.52941176470589,46.52941176470589
 Registered voters,Donald Trump,2024-06-17,42.8,42.8
 Registered voters,Donald Trump,2024-06-16,43.0,43.0
 Registered voters,Donald Trump,2024-06-15,43.0,43.0
