sponsors,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,question_id,sample_size,population,partisan,party,candidate_name,pct,da_by_pop,pop_raverage7
The Hill,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web,7.0,New Mexico,8/20/2024,2024-08-22,206739.0,965.0, Registered voters,,LIB,Chase Oliver,0.2,0.2,0.27346938775510204
,Outward Intelligence,,,Online Panel,3.5,,8/18/2024,2024-08-22,206683.0,1867.0,Likely voters,,LIB,Chase Oliver,0.5,0.5,0.6428571428571429
The Hill,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web,7.0,New Mexico,8/20/2024,2024-08-22,206739.0,965.0, Registered voters,,IND,Cornel West,0.2,0.2,0.38571428571428573
,Outward Intelligence,,,Online Panel,3.5,,8/18/2024,2024-08-22,206683.0,1867.0,Likely voters,,IND,Cornel West,0.6,0.6,0.4
The Hill,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web,7.0,New Mexico,8/20/2024,2024-08-22,206738.0,965.0, Registered voters,,REP,Donald Trump,46.4,43.3,42.83809523809524
The Hill,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web,7.0,New Mexico,8/20/2024,2024-08-22,206739.0,965.0, Registered voters,,REP,Donald Trump,40.2,43.3,42.800000000000004
,,,,,,,,2024-08-22,,,All adults,,,Donald Trump,,,39.042857142857144
Napolitan News Service,RMG Research,2.3,-0.4,Online Panel,5.0,,8/19/2024,2024-08-22,206736.0,2404.0,Likely voters,,REP,Donald Trump,49.0,50.114285714285714,42.81989795918368
Napolitan News Service,RMG Research,2.3,-0.4,Online Panel,5.0,,8/19/2024,2024-08-22,206740.0,2404.0,Likely voters,,REP,Donald Trump,46.0,50.114285714285714,44.427891156462586
,Outward Intelligence,,,Online Panel,3.5,,8/18/2024,2024-08-22,206682.0,1867.0,Likely voters,,REP,Donald Trump,48.0,50.114285714285714,46.035884353741494
,Outward Intelligence,,,Online Panel,3.5,,8/18/2024,2024-08-22,206683.0,1867.0,Likely voters,,REP,Donald Trump,44.0,50.114285714285714,47.64387755102041
,ActiVote,,,App Panel,8.0,Pennsylvania,8/5/2024,2024-08-22,206715.0,400.0,Likely voters,,REP,Donald Trump,48.9,50.114285714285714,48.46734693877551
,ActiVote,,,App Panel,8.0,Ohio,8/2/2024,2024-08-22,206716.0,400.0,Likely voters,,REP,Donald Trump,56.2,50.114285714285714,49.29081632653061
,ActiVote,,,App Panel,8.0,Missouri,7/25/2024,2024-08-22,206717.0,400.0,Likely voters,,REP,Donald Trump,58.7,50.114285714285714,50.114285714285714
The Hill,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web,7.0,New Mexico,8/20/2024,2024-08-22,206739.0,965.0, Registered voters,,GRE,Jill Stein,0.3,0.3,0.4551020408163263
,Outward Intelligence,,,Online Panel,3.5,,8/18/2024,2024-08-22,206683.0,1867.0,Likely voters,,GRE,Jill Stein,0.4,0.4,0.42857142857142855
,,,,,,,,2024-08-22,,, Registered voters,,,Joe Biden,,,
,,,,,,,,2024-08-22,,,All adults,,,Joe Biden,,,
,,,,,,,,2024-08-22,,,Likely voters,,,Joe Biden,,,
The Hill,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web,7.0,New Mexico,8/20/2024,2024-08-22,206738.0,965.0, Registered voters,,DEM,Kamala Harris,53.6,52.3,48.042857142857144
The Hill,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web,7.0,New Mexico,8/20/2024,2024-08-22,206739.0,965.0, Registered voters,,DEM,Kamala Harris,51.0,52.3,48.800000000000004
,,,,,,,,2024-08-22,,,All adults,,,Kamala Harris,,,43.48095238095238
Napolitan News Service,RMG Research,2.3,-0.4,Online Panel,5.0,,8/19/2024,2024-08-22,206736.0,2404.0,Likely voters,,DEM,Kamala Harris,49.0,47.885714285714286,54.058673469387756
Napolitan News Service,RMG Research,2.3,-0.4,Online Panel,5.0,,8/19/2024,2024-08-22,206740.0,2404.0,Likely voters,,DEM,Kamala Harris,48.0,47.885714285714286,52.68163265306123
,Outward Intelligence,,,Online Panel,3.5,,8/18/2024,2024-08-22,206682.0,1867.0,Likely voters,,DEM,Kamala Harris,52.0,47.885714285714286,51.304591836734694
,Outward Intelligence,,,Online Panel,3.5,,8/18/2024,2024-08-22,206683.0,1867.0,Likely voters,,DEM,Kamala Harris,50.0,47.885714285714286,49.92755102040816
,ActiVote,,,App Panel,8.0,Pennsylvania,8/5/2024,2024-08-22,206715.0,400.0,Likely voters,,DEM,Kamala Harris,51.1,47.885714285714286,49.24693877551021
,ActiVote,,,App Panel,8.0,Ohio,8/2/2024,2024-08-22,206716.0,400.0,Likely voters,,DEM,Kamala Harris,43.8,47.885714285714286,48.566326530612244
,ActiVote,,,App Panel,8.0,Missouri,7/25/2024,2024-08-22,206717.0,400.0,Likely voters,,DEM,Kamala Harris,41.3,47.885714285714286,47.88571428571429
The Hill,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web,7.0,New Mexico,8/20/2024,2024-08-22,206739.0,965.0, Registered voters,,IND,Robert F. Kennedy,3.4,3.4,4.877551020408163
Napolitan News Service,RMG Research,2.3,-0.4,Online Panel,5.0,,8/19/2024,2024-08-22,206740.0,2404.0,Likely voters,,IND,Robert F. Kennedy,3.0,4.1,3.1857142857142864
,Outward Intelligence,,,Online Panel,3.5,,8/18/2024,2024-08-22,206683.0,1867.0,Likely voters,,IND,Robert F. Kennedy,5.2,4.1,3.0285714285714285
,The Bullfinch Group,,,Online Panel,4.0,,8/19/2024,2024-08-21,206719.0,1000.0, Registered voters,,LIB,Chase Oliver,1.0,1.0,0.2653061224489796
,The Bullfinch Group,,,Online Panel,4.0,,8/19/2024,2024-08-21,206718.0,1200.0,All adults,,LIB,Chase Oliver,1.0,1.0,0.2653061224489796
,The Bullfinch Group,,,Online Panel,4.0,,8/19/2024,2024-08-21,206719.0,1000.0, Registered voters,,IND,Cornel West,1.0,1.0,0.39999999999999997
,The Bullfinch Group,,,Online Panel,4.0,,8/19/2024,2024-08-21,206718.0,1200.0,All adults,,IND,Cornel West,1.0,1.0,1.1357142857142857
,SurveyUSA,2.8,-1.3,Online Panel,10.0,North Carolina,8/19/2024,2024-08-21,206654.0,1053.0, Registered voters,,REP,Donald Trump,45.0,42.0,43.1
,The Bullfinch Group,,,Online Panel,4.0,,8/19/2024,2024-08-21,206719.0,1000.0, Registered voters,,REP,Donald Trump,39.0,42.0,42.87619047619047
,The Bullfinch Group,,,Online Panel,4.0,,8/19/2024,2024-08-21,206718.0,1200.0,All adults,,REP,Donald Trump,39.0,39.0,39.730612244897955
,SurveyUSA,2.8,-1.3,Online Panel,10.0,North Carolina,8/19/2024,2024-08-21,206735.0,941.0,Likely voters,,REP,Donald Trump,47.0,44.35,40.42738095238095
,ActiVote,,,App Panel,8.0,New York,8/1/2024,2024-08-21,206561.0,400.0,Likely voters,,REP,Donald Trump,41.7,44.35,41.21190476190476
,The Bullfinch Group,,,Online Panel,4.0,,8/19/2024,2024-08-21,206719.0,1000.0, Registered voters,,GRE,Jill Stein,1.0,1.0,0.4734693877551019
,The Bullfinch Group,,,Online Panel,4.0,,8/19/2024,2024-08-21,206718.0,1200.0,All adults,,GRE,Jill Stein,1.0,1.0,0.5775510204081632
,,,,,,,,2024-08-21,,, Registered voters,,,Joe Biden,,,
